SENSOR,BLUE,GREEN,RED,REDEDGE1,REDEDGE2,REDEDGE3,BROADNIR,NIR,SWIR0,SWIR1,SWIR2,VV,VH
LND04,1,2,3,-1,-1,-1,-1,4,0,5,6,0,0
LND05,1,2,3,-1,-1,-1,-1,4,0,5,6,0,0
LND07,1,2,3,-1,-1,-1,-1,4,0,5,6,0,0
LND08,1,2,3,-1,-1,-1,-1,4,0,5,6,0,0
LND09,1,2,3,-1,-1,-1,-1,4,0,5,6,0,0
SEN2A,1,2,3,4,5,6,7,8,0,9,10,0,0
SEN2B,1,2,3,4,5,6,7,8,0,9,10,0,0
sen2a,1,2,3,0,0,0,7,0,0,0,0,0,0
sen2b,1,2,3,0,0,0,7,0,0,0,0,0,0
LNDLG,1,2,3,0,0,0,0,4,0,5,6,0,0
SEN2L,1,2,3,4,5,6,7,8,0,9,10,0,0
R-G-B,1,2,3,0,0,0,0,0,0,0,0,0,0
S1AIA,0,0,0,0,0,0,0,0,0,0,0,1,2
S1AID,0,0,0,0,0,0,0,0,0,0,0,1,2
S1BIA,0,0,0,0,0,0,0,0,0,0,0,1,2
S1BID,0,0,0,0,0,0,0,0,0,0,0,1,2
VVVHP,0,0,0,0,0,0,0,0,0,0,0,1,2
MOD01,1,2,3,-1,-1,-1,-1,4,5,6,7,0,0
MOD02,1,2,3,-1,-1,-1,-1,4,5,6,7,0,0
MODIS,1,2,3,0,0,0,0,4,5,6,7,0,0
